"especie","key"
"Ituglanis paraguassuensis",2342907
"Ituglanis parahybae",2342899
"Ituglanis sp.",0
"Jenynsia lineata",2350704
"Jenynsia multidentata",2350700
"Jupiaba elassonaktis",2353593
"Jupiaba polylepis",2353557
"Kalyptodoras bahiensis",2343965
"Knodus moenkhausii",2353847
"Knodus shinahota",2353829
"Knodus sp.",0
"Kryptolebias ocellatus",2349310
"Kyphosus sectatrix",2381293
"Labrisomus cricota",2389655
"Labrisomus kalisherae",8399964
"Labrisomus nuchipinnis",2389661
"Labrisomus sp.",0
"Laemolyta proxima",2355437
"Lagocephalus laevigatus",2407750
"Larimus breviceps",2399921
"Lepidocharax burnsi",6165667
"Lepomis gibbosus",2394486
"Leporellus vittatus",2355517
"Leporinus bahiensis",2355363
"Leporinus conirostris",2355329
"Leporinus copelandii",2355408
"Leporinus fasciatus",2355387
"Leporinus friderici",2355324
"Leporinus piau",2355379
"Leporinus sp.",0
"Leporinus steindachneri",2355331
"Leporinus taeniatus",2355411
"Lignobrycon myersi",2353400
"Liopropoma aberrans",2387859
"Liopropoma carmabi",2387887
"Liosomadoras sp.",0
"Lophiosilurus alexandri",2344122
"Lophiosilurus sp.",0
"Lopholatilus villarii",2389831
"Loricaria sp.",0
"Loricariichthys anus",2339184
"Loricariichthys castaneus",2339187
"Loricariichthys derbyi",2339161
"Loricariichthys sp.",0
"Lutjanus buccanella",2384960
"Lutjanus chrysurus",2385282
"Lutjanus jocu",2384948
"Lutjanus sp.",0
"Lutjanus synagris",2384837
"Lutjanus vivanus",2384856
"Lycengraulis grossidens",2413813
"Lythrypnus brasiliensis",2376022
"Macrodon ancylodon",5212492
"Malacoctenus brunoi",5961738
"Malacoctenus delalandei",2389500
"Malacoctenus sp.",0
"Malacoctenus triangulatus",2389521
"Megaleporinus brinco",0
"Megaleporinus conirostris",0
"Megaleporinus garmani",0
"Megaleporinus obtusidens",0
"Megaleporinus reinhardti",0
"Melacosteus niger",2347378
"Melanostomias sp.",0
"Melichthys niger",2407141
"Menticirrhus americanus",2400093
"Menticirrhus littoralis",2400086
"Mesonauta festivus",2369921
"Metynnis lippincottianus",2353419
"Metynnis maculatus",2353417
"Metynnis sp.",0
"Microcambeva draco",5961326
"Microglanis cottoides",2344130
"Microglanis leptostriatus",2344138
"Microglanis nigripinnis",2344137
"Microglanis parahybae",2344139
"Microglanis pataxo",2344128
"Microglanis sp.",0
"Micrognathus crinitus",2333177
"Microgobius carri",2376651
"Microgobius meeki",2376657
"Microphis lineatus",5712327
"Micropogonias furnieri",2399855
"Micropterus salmoides",2394563
"Microspathodon chrysurus",2398749
"Mimagoniates inequalis",2353881
"Mimagoniates microlepis",2353883
