"especie","key"
"Euphonia violacea",2487970
"Euphonia xanthogaster",2488011
"Euscarthmus meloryphus",2483318
"Eutoxeres aquila",2476380
"Falco femoralis",2481006
"Falco rufigularis",2481033
"Falco sp.",0
"Falco sparverius",2481022
"Florisuga fusca",2476193
"Florisuga mellivora",2476195
"Fluvicola nengeta",5229568
"Formicarius colma",2490548
"Formicivora grisea",2490042
"Formicivora rufa",2490041
"Formicivora serrana",2490045
"Formicivora sp.",0
"Forpus xanthopterygius",2479075
"Furnarius figulus",2485827
"Furnarius rufus",2485821
"Galbula ruficauda",5228236
"Gallinago gallinago",2481819
"Gallinago paraguaiae",2481829
"Gallinago undulata",2481812
"Gallinula chloropus",5228199
"Geothlypis aequinoctialis",2489649
"Geotrygon montana",2496121
"Geotrygon sp.",0
"Geotrygon violacea",2496109
"Geranoaetus albicaudatus",2480519
"Geranospiza caerulescens",2480435
"Glaucidium brasilianum",5232118
"Glaucis dohrnii",2476890
"Glaucis hirsutus",2476892
"Glaucis sp.",0
"Glyphorynchus spirurus",2485341
"Gnorimopsar chopi",2484413
"Grallaria varia",2490545
"Guarouba guarouba",2480064
"Gubernatrix cristata",2491899
"Guira guira",2496462
"Gymnoderus foetidus",2486232
"Habia rubica",5230705
"Haplophaedia aureliae",2476336
"Haplophaedia lugens",2476344
"Haplospiza unicolor",2491289
"Harpagus bidentatus",5229191
"Harpagus diodon",5229192
"Harpia harpyja",2480516
"Heliactin bilophus",2476794
"Heliangelus amethysticollis",2476699
"Heliangelus exortis",2476708
"Heliangelus mavors",2476711
"Heliangelus strophianus",2476710
"Heliangelus viola",2476698
"Heliodoxa aurescens",2476943
"Heliodoxa jacula",2476948
"Heliodoxa leadbeateri",2476938
"Heliodoxa rubinoides",2476931
"Heliodoxa schreibersii",2476935
"Heliodoxa xanthogonys",2476945
"Heliomaster furcifer",2476998
"Heliomaster longirostris",2476994
"Heliomaster squamosus",2476993
"Heliornis fulica",2474343
"Heliothryx auritus",2476220
"Hemithraupis flavicollis",2488081
"Hemithraupis ruficapilla",2488093
"Hemitriccus diops",2482975
"Hemitriccus orbitatus",2482987
"Herpetotheres cachinnans",2481071
"Herpsilochmus rufimarginatus",2490109
"Hirundinea ferruginea",2483242
"Hirundo rustica",9515886
"Hydropsalis climacocerca",2497011
"Hydropsalis torquata",2497017
"Hylocharis chrysura",5228562
"Hylocharis cyanus",5228563
"Hylocharis eliciae",5228558
"Hylocharis grayi",5228557
"Hylocharis leucotis",5228571
"Hylocharis sapphirina",5228570
"Hylocharis xantusii",5228561
"Hylonympha macrocerca",2476044
"Hylophilus poicilotis",5230497
"Hylophilus sp.",0
"Hylophilus thoracicus",5230504
"Hypoedaleus guttatus",7947090
"Icterus cayanensis",5229845
"Icterus chrysocephalus",5229845
"Icterus icterus",5229915
"Icterus jamacaii",5229915
"Ictinia plumbea",2480720
"Idioptilon nidipondulum",0
"Ilicura militaris",2487763
"Iridosornis rufivertex",2488644
"Ixobrychus exilis",2480852
"Jabiru mycteria",2481953
"Jacana jacana",2481846
"Klais guimeti",2476226
"Knipolegus cyanirostris",2483052
"Knipolegus lophotes",2483028
"Lafresnaya lafresnayi",2476238
"Lampornis castaneoventris",2476752
"Lampornis clemenciae",2476748
"Laniisoma elegans",2486411
"Lanio cristatus",0
"Lanio pileatus",0
"Laniocera hypopyrra",2486357
"Laterallus melanophaius",2474585
"Laterallus viridis",2474489
"Lathrotriccus euleri",2483792
"Lepidocolaptes squamatus",2486034
"Lepidopyga coeruleogularis",2476561
"Lepidopyga goudoti",2476555
"Lepidothrix coronata",5230528
"Leptodon cayanensis",5229197
"Leptopogon amaurocephalus",5229517
"Leptotila rufaxilla",2496081
"Leptotila verreauxi",2496060
"Lesbia nuna",5228490
"Lesbia victoriae",5228496
"Leucippus chlorocercus",2476231
"Leucippus fallax",2476233
"Leucochloris albicollis",2476291
"Leucopternis lacernulatus",5788530
"Lipaugus lanioides",2486500
"Lipaugus vociferans",2486506
"Lochmias nematura",2485506
"Loddigesia mirabilis",5228461
"Lophornis adorabilis",2477000
"Lophornis chalybeus",2477001
"Lophornis delattrei",2477005
"Lophornis gouldii",2477008
"Lophornis helenae",2477009
"Lophornis magnificus",2477017
"Lophornis ornatus",2477011
"Lophornis stictolopha",2477010
"Machaeropterus regulus",2487747
"Machetornis rixosa",2482934
"Mackenziaena severa",2490207
"Malacoptila striata",2475154
"Manacus manacus",2487672
"Megaceryle torquata",2475466
"Megarynchus pitangua",2483410
"Megascops atricapilla",2497388
"Megascops choliba",2497365
"Megascops sp.",0
"Melanerpes candidus",2478144
"Melanerpes flavifrons",2478069
"Metallura tyrianthina",2476860
"Metallura williami",2476875
"Micrastur gilvicollis",2481084
"Micrastur ruficollis",2481082
"Micrastur semitorquatus",2481088
"Milvago chimachima",2481066
"Mimus gilvus",5231676
"Mimus saturninus",5231675
"Mionectes oleagineus",5229541
"Mionectes rufiventris",5229557
"Molothrus bonariensis",2484396
"Molothrus oryzivorus",2484386
"Monasa morphoeus",2475179
"Muscipipra vetula",2483662
"Myiarchus ferox",2483559
"Myiarchus sp.",0
"Myiarchus tuberculifer",2483531
"Myiarchus tyrannulus",2483589
"Myiobius atricaudus",2483298
"Myiobius barbatus",2483306
"Myiodynastes maculatus",2483497
