"DATAREG";"EXTNO";"CODIGO BARRA";"REGISTRO";"GRUPO";"FAMILIA";"GENERO";"ESPECIE";"AUTOR";"INFRAESPEC";"RANKINFRA";"AUTORINFRA";"ORIGEM_NR";"HERBARIO";"DET";"QUALIFIC";"DATADET";"PAIS";"ESTADO";"MUNICIPIO";"LATGRAU";"LATMIN";"LATSEG";"LATDIREC";"LONGGRAU";"LONGMIN";"LONGSEG";"LONGDIREC";"X__1";"LOCALIDADE";"COORDENADA-OBS";"ALTITUDE";"ALTMAIOR";"HABITAT";"VEGETACAO";"COLETOR";"OUTROSCOL";"NUMCOLETOR";"CODIGOCOL";"DATACOL";"DIA";"MES";"ANO";"OBSCOL";"FENOFASE";"NUMDUPLS";"DESTINO";"LEMBRETE";"ANOEMPRESTIMO";"EMPRESTIMO";"NRPARTES";"EM";"PARA";"A_CUIDADOS";"DEVOLUCAO";"OBS";"REMESSA";"vazio";"COLEÇÃO";"TIPIFICAÇÃO";"JR";"PARQUE";"INVENTÁRIO 2001";"INVENTÁRIO";"C EPÍFITAS";"DISTRIBUIÇÃO DE DUPLICATAS";"SUSPEITO-CRIA";"LOCALIDADE DETALHADA";"DUPLICATA DE";"INVENTÁRIO 2010";"INVENTÁRIO 2010 OBS";"INVENTÁRIO 2010 LOCALIZADO"
"05/05/2003";NA;"MBML00005830";20307;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/21-01-2004";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"R.R. Vervloet";"et al";2112;NA;NA;2;4;2003;"Trepadeira, flores a 2m do solo, cálice verde e corola azulada, estames brancos, anteras, fundo de vale, dossel 18m. Beira de córrego.";NA;NA;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"16/05/2003";NA;"MBML00005842";20559;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Maria de Jetibá";20;4;2;"S";40;46;50;"W";NA;"Terreno de R. Berger";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"L. Kollmann";"et al";6112;NA;NA;15;4;2003;"Trepadeira, no sol. Flores lilases.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
"29/05/2003";NA;"MBML00005828";20717;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/21-01-2004";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"R.R. Vervloet";"et al";2433;NA;NA;14;5;2003;"Liana, flores a 3m de altura, brácteas e cálice vinho, sépalas lilás. Baixada, dossel 10m.";NA;NA;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"E";NA;NA;NA;NA;NA;NA;"RB";NA;NA;NA;2010-08-17;NA;TRUE
"25/11/2008";NA;"MBML00005843";35585;"AD";"ACANTHACEAE";"Justicia";"congrua";"(Nees) Lindau";NA;NA;NA;NA;NA;"Sheila R. Profice/Agosto-2009";NA;NA;"Brasil";"Espírito Santo";"Atílio Vivácqua";21;20;41.4;"S";41;13;9.8;"W";NA;"Moitão do sul, Serra das Torres, matacões, propr. De José Pedroni.";"GPS - arredores da coleta";"679";NA;NA;NA;"A. P. Fontana";"L. Kollmann & K. A. brahim";3209;NA;"26/04/2008";26;4;2008;"Trepadeira, na sombra, corola lilás.";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005848";1211;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;"A.L.A. Côrtes/01-10-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;56;10;"S";40;34;26;"W";NA;"Vale dos Colibris";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"H. Q. Boudet Fernandes";NA;1907;"FERNANDES, 1907";NA;17;3;1986;"Arbusto volúvel, cálice verde, corola lilás externamente e roxo interiormente, semi-sombra, capoeirão, grota úmida, leito de córrego seco.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-15;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005864";1772;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;"A.L.A. Côrtes/01-10-2009";NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;57;12;"S";40;33;10;"W";NA;"Mata da Penha";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"J. M. Vimercat";NA;31;"VIMERCAT, 31";NA;10;4;1984;"Planta rasteira, flores roxeadas, solo arenoso.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005858";3910;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;55;20;"S";40;35;21;"W";NA;"Santo Antônio";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"R. M. Pizziolo";NA;133;"PIZZIOLO, R., 133";NA;29;5;1984;"Trepadeira, flor roxa, solo amarelado, altitude de +/- 700m.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005846";3956;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;56;10;"S";40;34;26;"W";NA;"Vale dos Colibris";"Google Earth - aproximação pelo local da coleta";NA;NA;NA;NA;"W. Pizziolo";NA;16;"PIZZIOLO, W., 16";NA;5;4;1984;"Trepadeira com flor roxa, solo úmido, altitude de +/- 700m.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005851";4032;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;58;23;"S";40;35;38;"W";NA;"Aparecida";"Google Earth - aproximação pela localidade próxima";NA;NA;NA;NA;"J. M. Vimercat";NA;98;"VIMERCAT, 98";NA;8;5;1984;"Trepadeira, flor roxa, solo aterro, altitude de +/- 700m.";NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
NA;NA;"MBML00005862";4098;"AD";"ACANTHACEAE";"Justicia";"cydoniifolia";"(Nees) Lindau";NA;NA;NA;NA;NA;NA;NA;NA;"Brasil";"Espírito Santo";"Santa Teresa";19;54;27;"S";40;33;11;"W";NA;"Reserva Biológica Augusto Ruschi - Nova Lombardia";"Google Earth - Sede da UC";NA;NA;NA;NA;"W. Boone";NA;98;"BOONE, 98";NA;3;5;1984;"Trepadeira, flor roxa, solo avermelhado, altitude de +/- 800m.";NA;0;NA;"AR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002-05-23;NA;NA;"US";NA;NA;NA;2010-08-17;NA;TRUE
