"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
102217;"Aphelandra margaritae E.Morren";NA;"Acanthaceae";"species";"accepted";"Aphelandra margaritae";"VU";"";"Aphelandra margaritae"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
